target_path	expected_sha256	size	acquisition	source_path	source_repo	source_ref	source_blob_oid	source_commit
recovery/root/system/bin/hlosminkdaemon	eaad2fc7a2e0c260ecb37938a324e8454af00fc036b890564fd043096bb0425e	68600	public-tb322fc-git	recovery/root/vendor/bin/hlosminkdaemon	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	e5f5fae1255268c6b054afbcfa71e8d779de063f	ac809e192fc70c094b0f4d1c65f21c7d65d6f814
recovery/root/system/bin/hw/android.hardware.boot-service.qti	1d1d1bf71b261347bd5bf163bb443b7a32ca1a46094cb0f251b9ad6a60cba901	52760	public-tb322fc-git	recovery/root/vendor/bin/hw/android.hardware.boot-service.qti	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	9566dbb9611606ce3bbb513ce9fe9628fe89276d	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/bin/hw/android.hardware.gatekeeper-rust-service-qti	3e36ca7b6682a92ee3fd449c6aef4a06bc8be1e40f5ba328cc96d42ee4b015f3	358416	tb323fu-stock	/vendor/bin/hw/android.hardware.gatekeeper-rust-service-qti		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/bin/hw/android.hardware.gatekeeper-service-spu-qti	8776811398d8c2fc2ea9be5e83915153b2f67c20e456a2ad1d82513b387e9078	51264	tb323fu-stock	/vendor/bin/hw/android.hardware.gatekeeper-service-spu-qti		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/bin/hw/android.hardware.health-service.qti	97de0c658f33962303062d43430b0be2516ca6341c6ab0054f74378b44b0831f	254760	public-tb322fc-git	recovery/root/vendor/bin/hw/android.hardware.health-service.qti	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	2460b6f46121c073efcb3846f82aa7ca85f15dc1	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/bin/hw/android.hardware.security.keymint-service-spu-qti	5dd12ad82c8b6eaf207df2d13c231cc31e1d210b5056f0c113f701a3fd7f4ccb	85232	tb323fu-stock	/vendor/bin/hw/android.hardware.security.keymint-service-spu-qti		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/bin/hw/android.hardware.security.onekeymint-service-qti	536e0f88e4b002599785735f97a2d73ea67da3fbaf84f1ba930e2fee97c17b23	1407616	tb323fu-stock	/vendor/bin/hw/android.hardware.security.onekeymint-service-qti		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/bin/hw/android.hardware.security.secretkeeper-service-qti	daf758e83168c29c9a8f0ed8be7c8bc280798879bd52d9208d3aba5cc7722e66	427832	tb323fu-stock	/vendor/bin/hw/android.hardware.security.secretkeeper-service-qti		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/bin/hw/android.hardware.weaver-service-spu-qti	9f2f789823b95a5cd9a1cec861af5155be5f74cc4ce438d1d0428be8a66e1ee4	85112	public-tb322fc-git	recovery/root/vendor/bin/hw/android.hardware.weaver-service-spu-qti	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	d45cf268ee2b0db758d667d3f1c3d310c9af15ed	ac809e192fc70c094b0f4d1c65f21c7d65d6f814
recovery/root/system/bin/hw/vendor.qti.hardware.spu-service	720559dbc003482df33ff4a883dc2343c1805396005997244efb6c307ef4ea38	86496	tb323fu-stock	/vendor/bin/hw/vendor.qti.hardware.spu-service		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
